Name;Place;Type;Price;Stars;Rating;City
Hotel Monastère Maastricht;Boschstraatkwartier, Maastricht;Twin Room;32,443;4;8;Boschstraatkwartier
Townhouse Design Hotel & Spa;Wijck, Maastricht;Large Double Room;23,440;4;7,9;Wijck
Bastion Hotel Maastricht Centrum;Boschstraatkwartier, Maastricht;Deluxe King Room;25,228;3;7,5;Boschstraatkwartier
Derlon Hotel Maastricht;Maastricht City Centre, Maastricht;Deluxe Twin or Double Room;33,970;4;7,9;Maastricht City Centre
NH Maastricht;Randwijck, Maastricht;Standard Double or Twin Room;52,252;4;7,9;Randwijck
Crowne Plaza Maastricht, an IHG Hotel;Wijck, Maastricht;Executive King Room;53,439;4;7,6;Wijck
Botel Maastricht;Jekerkwartier, Maastricht;Family Room (6 Adults) with Shared Shower and Toilet;30,534;3;6,7;Jekerkwartier
Bed & Breakfast Adrichem en Scherpenseel;Middelburg;Forsyth;10,385;5;9,2;Middelburg
B&B Montancourt-Middelburg;Middelburg;Twin Room;10,614;5;9;Middelburg
Logement 't Oude Bierhuys;Middelburg;Double Room;11,022;5;9,1;Middelburg
Logies aan de Dam;Middelburg;Deluxe Room;11,430;5;9,3;Middelburg
B&B 't Poorthuys;Middelburg;Junior Suite;11,512;5;9,4;Middelburg
Budget Hotel Le Beau Rivage;Middelburg;Small Double Room with Shower ;12,165;5;9,3;Middelburg
Hotel Le Beau Rivage;Middelburg;Superior Double Room;15,920;5;9,2;Middelburg
Boutique Hotel De Vier Patriciërs;Middelburg;Deluxe Room;20,329;5;9,3;Middelburg
Hotel Bruno;Middelburg;Budget Twin Room;6,940;5;8,6;Middelburg
Studio 82 b;Middelburg;One-Bedroom Apartment;7,095;5;8,5;Middelburg
Studio 82 a;Middelburg;One-Bedroom Apartment;8,487;5;8,5;Middelburg
Cleen Rochelle;Middelburg;Deluxe Studio;8,899;5;8,5;Middelburg
Stadsstudio 't Stadshuys in hartje Middelburg;Middelburg;One-Bedroom Apartment;9,552;5;8,6;Middelburg
Logement de Spaerpot;Middelburg;Double Room with Private Bathroom;9,797;5;8,9;Middelburg
Loskade 45;Middelburg;Deluxe Double Room with Balcony;12,165;5;8,9;Middelburg
ApartHotel Waepen van Middelburg;Middelburg;Deluxe King Studio;12,246;5;8,9;Middelburg
bednextdoor;Middelburg;Deluxe Double Studio;12,246;5;8,8;Middelburg
Van der Valk Hotel Middelburg;Middelburg;Standard Twin Room;14,206;5;8,8;Middelburg
Hotel Brasserie de Huifkar;Middelburg;Double Room with City View;10,032;5;8,1;Middelburg
De Kaepstander;Middelburg;Double Room with Private Bathroom;12,002;5;8,4;Middelburg
Hotel en privé-wellness De Nieuwe Doelen;Middelburg;Superior Double Room;13,879;5;8,2;Middelburg
Hotel Middelburg;Middelburg;Twin Room;10,894;4;7,7;Middelburg
Fletcher Hotel-Restaurant Middelburg;Middelburg;Small Double Room;12,165;4;7,2;Middelburg
Fletcher Hotel-Restaurant Arneville-Middelburg;Middelburg;Double Room;12,981;4;7,3;Middelburg
Verrassende Loft BNB centrum Middelburg;Middelburg;Three-Bedroom Apartment;17,250;3;5;Middelburg
Hotel Oranjestaete;Nijmegen;Studio - Souterrain;9,797;5;9,2;Nijmegen
Hotel Sleep-Inn Box 5;Nijmegen;Double Room;12,246;5;9,2;Nijmegen
Boutique Hotel Straelman;Nijmegen;Double Room;13,798;5;9,4;Nijmegen
B&B Stadsoase Nijmegen;Nijmegen;Two-Bedroom House;24,493;5;9,3;Nijmegen
Van der Valk Hotel Nijmegen-Lent;Nijmegen;Standard Double Room;10,042;5;8,8;Nijmegen
Blue Inspired by Manna;Nijmegen;Small Double Room;11,348;5;8,7;Nijmegen
Manna;Nijmegen;Studio S Charity;12,165;5;8,7;Nijmegen
B&B Appartementen Smedery;Nijmegen;Deluxe Apartment;12,246;5;8,6;Nijmegen
Studio RoSa;Nijmegen;Studio Apartment;7,330;5;8,3;Nijmegen
Van der Valk Cuijk - Nijmegen;Nijmegen;Comfort Room;7,960;5;8,1;Nijmegen
Mercure Hotel Nijmegen Centre;Nijmegen;Standard Double Room;9,307;5;8,2;Nijmegen
Hotel Credible;Nijmegen;Budget Double Room;13,496;5;8,4;Nijmegen
Sanadome Nijmegen;Nijmegen;Deluxe Double or Twin Room with Spa Access;15,920;4;8;Nijmegen
Bastion Hotel Nijmegen;Nijmegen;Deluxe King Room;8,491;4;7,8;Nijmegen
Hotel Courage Waalkade;Nijmegen;Standard Room with Park View;8,654;4;7,7;Nijmegen
Hotel Pauw;Nijmegen;Budget Twin Room;9,879;4;7,8;Nijmegen
Hotel de Prince;Nijmegen;Premium Double Room;10,668;4;7,8;Nijmegen
Hotel De Gulden Waagen;Nijmegen;Double Room;19,594;4;7,8;Nijmegen
De Hemel De Kracht van Ambacht;Nijmegen;Junior Suite;8,328;4;7;Nijmegen
Apollo Hotel;Nijmegen;Twin Room;8,981;4;7,4;Nijmegen
B&B N10;Roermond;Deluxe King Room;11,348;5;9,6;Roermond
De Pastorie Bed & Breakfast;Roermond;Twin Room;8,550;5;9,2;Roermond
B&B De Hofnar Roermond;Roermond;Standard Twin Room;8,573;5;9,1;Roermond
Grand Hotel Valies;Roermond;Comfort Triple Room with Shower;13,389;5;9,1;Roermond
Het Arresthuis;Roermond;Comfort Double Room;15,839;5;9,4;Roermond
Kasteeltje Hattem;Roermond;Junior Suite;16,247;5;9,3;Roermond
Hotel Dux;Roermond;Executive Double Room;16,655;5;9,2;Roermond
Hotel Restaurant Café Parkzicht;Roermond;Double Room;6,662;5;8,9;Roermond
B&B Willem II;Roermond;Twin Room with Private Bathroom;8,613;5;8,8;Roermond
BBDeStaete;Roermond;King Room with Balcony;9,924;5;8,8;Roermond
Nero Office Hotel & City Café;Roermond;Standard Double or Twin Room;10,306;5;8,5;Roermond
De Oolderhof;Roermond;Junior Suite;10,777;5;8,7;Roermond
Hotel Roermond;Roermond;Suite;12,655;5;8,7;Roermond
Hotel en Grand Café De Pauw;Roermond;Standard Double Room;7,756;5;8;Roermond
Hotel Roermond Next Door;Roermond;Comfort Twin Room;7,756;5;8;Roermond
Hotel de Abdij;Roermond;Triple Room;11,838;5;8,1;Roermond
Van der Valk TheaterHotel De Oranjerie;Roermond;Comfort Double or Twin Room;13,716;4;8,3;Roermond
De Roermondse beleving;Roermond;Twin Room with Shower;6,565;4;7,7;Roermond
Hotel Asselt;Roermond;Standard Twin Room;8,409;4;7,4;Roermond
Fletcher Landhotel Bosrijk Roermond;Roermond;Small Double Room;8,491;4;6,5;Roermond
Bed and Breakfast Rotterdam;Delfshaven, Rotterdam;Double Room with Private External Bathroom;6,794;5;9,1;Delfshaven
Hotel âme;Centrum, Rotterdam;Small Basic Room;8,862;5;9,1;Centrum
Suitehotel Pincoffs;Feijenoord, Rotterdam;Double Room with Mezzanine;10,781;5;9;Feijenoord
Bed, Bites & Business Hotel Rotterdam;Feijenoord, Rotterdam;Double Room with Balcony;12,854;5;9,2;Feijenoord
Sparks Hostel;Centrum, Rotterdam;Comfort Quadruple Room;15,186;5;9;Centrum
Wikkelboat Nr1 at Floating Rotterdam Rijnhaven;Feijenoord, Rotterdam;Two-Bedroom House;19,542;5;9,2;Feijenoord
Wikkelboat Nr5 at Floating Rotterdam Rijnhaven;Feijenoord, Rotterdam;Three-Bedroom House;36,489;5;9;Feijenoord
CityHub Rotterdam;Centrum, Rotterdam;Hub;5,925;5;8,8;Centrum
B&B Unitas;Feijenoord, Rotterdam;Standard Twin Room;6,260;5;8,8;Feijenoord
The James Rotterdam;Centrum, Rotterdam;Economy Double Room;7,058;5;8,8;Centrum
Room Mate Bruno;Feijenoord, Rotterdam;Basic Room Double or Twin Room;8,370;5;8,7;Feijenoord
Savoy Hotel Rotterdam;Centrum, Rotterdam;Double Room;8,706;5;8,5;Centrum
Hotel New York;Feijenoord, Rotterdam;Double Room with Courtyard View;9,542;5;8,7;Feijenoord
Supernova Hotel;Centrum, Rotterdam;Standard Double Room;9,675;5;8,9;Centrum
Hotel Unplugged;Centrum, Rotterdam;Standard Double Room;10,532;5;8,5;Centrum
The Slaak Rotterdam, a Tribute Portfolio Hotel;Kralingen-Crooswijk, Rotterdam;Standard King Room;11,034;5;8,7;Kralingen-Crooswijk
citizenM Rotterdam;Centrum, Rotterdam;King Room;11,348;5;8,8;Centrum
PREMIER SUITES PLUS Rotterdam;Centrum, Rotterdam;One-Bedroom Apartment;11,597;5;8,9;Centrum
Hotel Van Walsum;Centrum, Rotterdam;Comfort Double or Twin Room;11,757;5;8,5;Centrum
Hostel ROOM Rotterdam;Centrum, Rotterdam;Family Room with Balcony and Shared Bathroom;13,722;5;8,5;Centrum
Boathotel Rotterdam Wilhelmina;Centrum, Rotterdam;Apartment;27,481;5;8,6;Centrum
The Student Hotel Rotterdam;Kralingen-Crooswijk, Rotterdam;Standard Double;5,486;5;8,3;Kralingen-Crooswijk
Hotel Breitner;Centrum, Rotterdam;Standard Double Room;5,573;5;8,3;Centrum
ss Rotterdam Hotel en Restaurants;Feijenoord, Rotterdam;Twin Standard;6,539;5;8,3;Feijenoord
Stayokay Hostel Rotterdam;Centrum, Rotterdam;Twin Room with Private Bathroom and Shower;7,558;4;8;Centrum
Boulevard Hotel Scheveningen;Scheveningen;Comfort Twin Room with Shower;12,042;5;8,6;Scheveningen
Ramada The Hague Scheveningen;Scheveningen;Standard Twin Room;12,900;5;8,5;Scheveningen
Aquarius Hotel;Scheveningen;Comfort Double Room;13,063;5;8,5;Scheveningen
Hotel De Stern;Scheveningen;Budget Double Room;10,614;5;8,3;Scheveningen
Fletcher Hotel-Restaurant Scheveningen;Scheveningen;Double Room;11,757;4;8;Scheveningen
limehome Den Haag Keizerstraat;Scheveningen;Suite;12,573;4;8,4;Scheveningen
Inntel Hotels Den Haag Marina Beach;Scheveningen;City Twin Room;13,063;4;8,1;Scheveningen
De Pier Suites;Scheveningen;Penthouse Room with Beach View;16,084;4;8,4;Scheveningen
Sea Breeze loft apartment II;Scheveningen;One-Bedroom Apartment;21,962;4;8,3;Scheveningen
easyHotel The Hague Scheveningen Beach;Scheveningen;Standard Double Room;8,491;4;7,6;Scheveningen
Badhotel Scheveningen;Scheveningen;Standard Twin Room;10,042;4;7,6;Scheveningen
Carlton Beach;Scheveningen;Double Room with Balcony;12,410;4;7,7;Scheveningen
Jordans Residence;Scheveningen;Studio with Sea View;14,777;4;7,6;Scheveningen
Hotel Albion;Scheveningen;Deluxe Twin Room;19,472;4;7,6;Scheveningen
Hotel Andante aan Zee;Scheveningen;Double Room;9,405;4;7,2;Scheveningen
ibis Styles Den Haag Scheveningen;Scheveningen;Standard Room;10,532;4;7,4;Scheveningen
Bilderberg Europa Hotel Scheveningen;Scheveningen;Comfort Double Room;12,165;4;7,1;Scheveningen
Hotel 't Sonnehuys;Scheveningen;Double Room;13,961;4;7,2;Scheveningen
Grand Hotel Amrâth Kurhaus The Hague Scheveningen;Scheveningen;Superior Double Room;15,680;4;7,2;Scheveningen
Hotel 't Witte Huys Scheveningen;Scheveningen;Double Room;15,022;3;6,6;Scheveningen
New City Hotel Scheveningen;Scheveningen;Standard Double Room;9,797;3;6,2;Scheveningen
Ben's Boutique Hotel;Scheveningen;Standard Double Room;10,695;3;6,4;Scheveningen
Slapen onder de Dom;City Centre, Utrecht;Deluxe Double Room;12,246;5;9,3;City Centre
Logement Swaenenvecht;Utrecht;Deluxe Double Room;11,838;5;9;Utrecht
Werfkelder aan de Oudegracht;City Centre, Utrecht;Apartment;13,308;5;9,3;City Centre
Logement Petit Beijers;City Centre, Utrecht;Superior Double Room;12,736;5;9,4;City Centre
MUZE Hotel Utrecht;City Centre, Utrecht;Deluxe Double Room with Bath;13,471;5;9,3;City Centre
The Nox Hotel;City Centre, Utrecht;Small Double Room;13,471;5;9;City Centre
Hotel Beijers;City Centre, Utrecht;Standard Double Room;14,696;5;9,2;City Centre
Stayokay Hostel Utrecht Centrum;City Centre, Utrecht;Comfort Double with Private Bathroom and Shower;9,307;5;8,5;City Centre
Eye Hotel;City Centre, Utrecht;Small Double Room;10,936;5;8,7;City Centre
Van der Valk Hotel Utrecht;Zuidwest, Utrecht;Comfort Double Room;11,226;5;8,6;Zuidwest
Inntel Hotels Utrecht Centre;City Centre, Utrecht;City Double Room;11,757;5;8,5;City Centre
The Hunfeld;City Centre, Utrecht;Small Double Room;11,906;5;8,7;City Centre
Brass;City Centre, Utrecht;Superior King Room;13,167;5;8,6;City Centre
Mother Goose Hotel;City Centre, Utrecht;Small Double Room;13,798;5;8,9;City Centre
Hotel Simple;City Centre, Utrecht;Deluxe Suite;13,226;5;8,7;City Centre
B&B Utrecht Domkwartier;City Centre, Utrecht;Large Double Room;14,461;5;8,7;City Centre
Hotel Museumkwartier Utrecht;City Centre, Utrecht;Twin Room with City View;14,614;5;8,8;City Centre
Grand Hotel Karel V;City Centre, Utrecht;Standard Double or Twin Room;15,597;5;8,9;City Centre
Strowis Hostel;City Centre, Utrecht;Standard Twin Room with Shared Bathroom;7,772;5;8,2;City Centre
Carlton President;West, Utrecht;Standard Twin Room;9,552;5;8,4;West
Moxy Utrecht;Zuid, Utrecht;Queen Room;9,079;5;8,4;Zuid
BUNK Hotel Utrecht;City Centre, Utrecht;Bunk Room;9,797;5;8,4;City Centre
City Center Lodge Utrecht;Utrecht;bunk;10,205;5;8,2;Utrecht
Hotel Mitland;Noordoost, Utrecht;Deluxe Double Room Ground Floor;10,836;5;8,3;Noordoost
Hampton By Hilton Utrecht Centraal Station;City Centre, Utrecht;Queen Room;11,430;5;8,4;City Centre
Vakantiewoning Valkenburg;Valkenburg;Two-Bedroom Apartment;10,369;5;9,2;Valkenburg
Appartementen Leonardus;Valkenburg;One-Bedroom Apartment;11,348;5;9,1;Valkenburg
Villa R einald;Valkenburg;Deluxe King Room;13,838;5;9,1;Valkenburg
Pension Auberge de Dael;Valkenburg;Double Room with Private Bathroom;8,899;5;8,5;Valkenburg
Hotel De Wilde Kriek - before De Karsteboom;Valkenburg;Small Double Room;9,797;5;8,6;Valkenburg
Boutique Hotel Scheepers;Valkenburg;Economy Double Room;13,838;5;8,6;Valkenburg
De Heek;Valkenburg;Comfort Double Room with Shower;15,675;5;8,6;Valkenburg
Château St. Gerlach;Valkenburg;One-Bedroom Apartment;25,228;5;8,6;Valkenburg
Huis Ter Geul;Valkenburg;Double Room;7,838;5;8,1;Valkenburg
Hotel Valkenburg by Mercure;Valkenburg;Comfort Double Room;10,287;5;8,1;Valkenburg
Hotel Hulsman;Valkenburg;Standard Double Room with Rain Shower;11,022;5;8,4;Valkenburg
Hampshire Hotel – Voncken Valkenburg;Valkenburg;Double Room;14,696;4;8;Valkenburg
Hotel Lahaye;Valkenburg;Standard Double Room with Shared Bathroom;4,490;4;7,7;Valkenburg
Grand Hotel Monopole;Valkenburg;Comfort Double Room;7,348;4;7,9;Valkenburg
Dormio Wijnhotel Valkenburg;Valkenburg;Standard Queen Room;8,083;4;7,6;Valkenburg
Hotel Dupuis;Valkenburg;Quadruple Room with Bunk Beds and Shared Bathroom;10,695;4;7,9;Valkenburg
Mimosa Hotel;Valkenburg;Standard Double Room with Shared Bathroom;10,777;4;7,6;Valkenburg
Hotel de L'Empereur;Valkenburg;Standard Double Room;11,838;4;7,9;Valkenburg
Atlas Hotel;Valkenburg;Classic Double Room;13,063;4;7,8;Valkenburg
Hotel La Casa;Valkenburg;Family Room;14,892;4;7,8;Valkenburg
Hotel Atlanta;Valkenburg;Standard Double Room;16,818;4;7,9;Valkenburg
Parkhotel Valkenburg;Valkenburg;Standard Double Room;19,908;4;7,8;Valkenburg
Hotel Rido;Valkenburg;Twin Room with Shared Bathroom;5,715;4;7,3;Valkenburg
Hotel Schaepkens van St Fijt;Valkenburg;Standard Double Room;13,961;4;7;Valkenburg
Hotel Gaudi;Valkenburg;Budget Double Room with Shared Bathroom;8,368;3;6,8;Valkenburg
Zeilschip Lucia;Vlissingen;Mobile Home;17,635;5;9,6;Vlissingen
De Gevangentoren Suite;Vlissingen;Deluxe Suite with Sea View;33,624;5;9,5;Vlissingen
Westerschelde B&B;Vlissingen;Double Room with Balcony (2 Adults + 1 Child);8,151;5;9,2;Vlissingen
Anna van Chiel;Vlissingen;Junior Suite;12,619;5;9,3;Vlissingen
Hotel de Timmerfabriek I Kloeg Collection;Vlissingen;Court Lodge;13,052;5;8,6;Vlissingen
La vie Est Belle Vlissingen;Vlissingen;Two-Bedroom Chalet;14,813;5;8,7;Vlissingen
Rijksmonument Havenzicht, met zeezicht, ligging direct aan zee en centrum;Vlissingen;Six-Bedroom House;32,135;5;8,5;Vlissingen
Bed & Breakfast House of Grace;Vlissingen;Double Room with Private Bathroom;8,817;5;8,4;Vlissingen
Boutique Hotel Lupo;Vlissingen;Small Double Room;11,348;5;8,4;Vlissingen
Belgische Loodsensociëteit;Vlissingen;Double Room with City View;11,561;4;8;Vlissingen
Mo's place;Vlissingen;One-Bedroom Apartment;12,462;4;8;Vlissingen
Fletcher Hotel-Restaurant Arion-Vlissingen;Vlissingen;Deluxe Double Room;17,063;4;8;Vlissingen
Appartement Havenzicht, gelegen aan zee met zeezicht;Vlissingen;Apartment with Sea View;25,081;4;8,2;Vlissingen
Stad & Strandhotel Elisabeth;Vlissingen;Double Room with Private External Bathroom;8,935;4;7,7;Vlissingen
Hotel Restaurant Piccard;Vlissingen;Standard Double Room (Pets not Allowed);10,424;4;7,6;Vlissingen
Stadshotel Vlissingen;Vlissingen;Standard Double Room;10,654;4;7,7;Vlissingen
Hotelboot Koningin Emma I Kloeg Collection;Vlissingen;Deluxe Room;12,889;4;7,5;Vlissingen
Hotel Truida;Vlissingen;Twin Room with City View (Elevator access);13,879;4;7,7;Vlissingen
B&B by the C;Vlissingen;Deluxe King Room;8,112;4;7,3;Vlissingen
City Hostel Vlissingen;Vlissingen;Comfort Quadruple Room;12,697;4;7,3;Vlissingen
City2Beach Hotel;Vlissingen;Comfort Twin Room;14,108;4;7,3;Vlissingen
Bed & Breakfast Vlissingen;Vlissingen;Double Room with Shared Bathroom;5,142;3;6,9;Vlissingen
Uniek verblijf aan zee;Vlissingen;Caravan;9,876;3;6,9;Vlissingen
Hotel De Leugenaar;Vlissingen;Twin Room with City View;11,757;3;6,9;Vlissingen
Cosy sailingboat in Vlissingen;Vlissingen;Mobile Home;9,797;3;3,7;Vlissingen
2-persoons Hotellodge;Voorthuizen;One-Bedroom Apartment;10,614;5;9;Voorthuizen
The Black Oak - Luxe bungalow met prive sauna;Voorthuizen;Two-Bedroom House;17,635;5;9,4;Voorthuizen
Bunckman 10 pers. bungalow;Voorthuizen;Five-Bedroom Apartment;24,411;5;8,5;Voorthuizen
Voorde 16 pers. bungalow;Voorthuizen;Eight-Bedroom Apartment;44,087;5;8,5;Voorthuizen
Hotel de Boshoek;Voorthuizen;Twin Room with Private Bathroom;8,501;5;8,5;Voorthuizen
Studio Recreatiepark De Boshoek-5;Voorthuizen;Studio;7,593;4;8,3;Voorthuizen
Studio Recreatiepark De Boshoek-2;Voorthuizen;Studio;7,593;4;8,4;Voorthuizen
Studio Recreatiepark De Boshoek-4;Voorthuizen;Studio;7,593;4;8;Voorthuizen
Ruim en fris chalet aan de bosrand;Voorthuizen;Two-Bedroom Chalet;7,446;4;8;Voorthuizen
4 pers. Veluwelodge met Sauna;Voorthuizen;Two-Bedroom Apartment;12,736;4;8;Voorthuizen
Landgoed De Ijsvogel;Voorthuizen;Double Room;15,024;4;8;Voorthuizen
2 2-persoons Hotel kamer;Voorthuizen;Two-Bedroom Apartment;18,288;4;8;Voorthuizen
Studio Recreatiepark De Boshoek-6;Voorthuizen;Studio;7,593;3;7,7;Voorthuizen
6-persoons Veluwe Villa;Voorthuizen;Three-Bedroom Villa;12,900;4;7,8;Voorthuizen
Wellness Lodges x De IJsvogel;Voorthuizen;One-Bedroom House;31,083;4;7,5;Voorthuizen
Recreatiepark de Boshoek;Voorthuizen;Two-Bedroom Chalet;18,960;4;7,2;Voorthuizen
Studio Recreatiepark De Boshoek-3;Voorthuizen;Studio;7,593;4;8,5;Voorthuizen
4 pers. Veluwelodge;Voorthuizen;Two-Bedroom Apartment;10,940;5;8,6;Voorthuizen
Heuveltjes 4 pers. bungalow;Voorthuizen;Two-Bedroom Apartment;11,348;5;8,7;Voorthuizen
4 pers. Veluwelounge;Voorthuizen;Two-Bedroom Apartment;11,430;5;8,7;Voorthuizen
6-persoons Veluwelodge XL;Voorthuizen;Three-Bedroom Apartment;11,512;5;8,7;Voorthuizen
6-persoons Familielodge;Voorthuizen;Three-Bedroom House;11,838;5;8,7;Voorthuizen
Zeumeren 6 pers. bungalow;Voorthuizen;Three-Bedroom Apartment;13,716;5;8,7;Voorthuizen
6 pers. Veluwelodge XL met Sauna;Voorthuizen;Three-Bedroom Apartment;13,961;5;8,7;Voorthuizen
6-person Veluwe Villa - copy -;Voorthuizen;Three-Bedroom House;15,104;5;8,7;Voorthuizen
Pension Sixtysix;Zandvoort;Deluxe Studio;8,588;5;9,1;Zandvoort
Queens Romantic Beachhouse;Zandvoort;One-Bedroom Apartment;10,478;5;9,1;Zandvoort
Beach&Dunes Studio;Zandvoort;Studio Apartment;14,037;5;9,1;Zandvoort
Het Lichthuis;Zandvoort;One-Bedroom Apartment;16,288;5;9;Zandvoort
Boutique Hotel LE•BAR;Zandvoort;Deluxe King Studio;17,276;5;9,1;Zandvoort
BUDDHA BEACH BUNGALOWS Adults Only;Zandvoort;One-Bedroom Chalet;27,470;5;9,1;Zandvoort
Queens Beachhouse;Zandvoort;One-Bedroom Apartment;9,802;5;8,9;Zandvoort
Studio Wijkhuizen;Zandvoort;Twin Room with Private Bathroom;10,140;5;8,7;Zandvoort
Hotel At Sea;Zandvoort;Double Room with Terrace;13,896;5;8,9;Zandvoort
STRAND 21 hotelchalets;Zandvoort;Superior Family Room with Sea View;18,778;5;8,9;Zandvoort
Boutique hotel Margretha;Zandvoort;Superior Suite;18,928;5;8,8;Zandvoort
Amsterdam Beach Hotel;Zandvoort;Double Room;13,295;4;8;Zandvoort
Hotel Paradis;Zandvoort;Standard Double or Twin Room with Balcony;14,955;4;8,2;Zandvoort
Hofje van Maas;Zandvoort;Small Double Room;9,065;3;7,9;Zandvoort
Zaras Studios;Zandvoort;Queen Studio;10,464;4;7,8;Zandvoort
Beachhotel Zandvoort by Center Parcs;Zandvoort;2-person Premium Hotelroom;12,165;5;7,8;Zandvoort
Hotel Zeespiegel;Zandvoort;Double Room;9,797;4;7,1;Zandvoort
Palace Hotel Zandvoort;Zandvoort;Twin room-Landside;15,989;4;7,2;Zandvoort
Hotel Doppenberg;Zandvoort;Junior Suite with Balcony;17,488;5;7,3;Zandvoort
budget rooms Doppenberg;Zandvoort;Budget Twin Room;10,762;4;6,8;Zandvoort
Pension Marco;Zandvoort;Double Room with Shared Bathroom;8,230;4;6,2;Zandvoort
De Langenlee;Zwolle;Double Room with Private Bathroom;8,164;4;9,4;Zwolle
De Pelsertoren;Zwolle;Suite;9,797;4;9;Zwolle
Pillows Grand Boutique Hotel Ter Borch Zwolle;Zwolle;Deluxe Room;14,288;5;9,1;Zwolle
Librije's Hotel;Zwolle;Junior Suite;26,126;5;9,1;Zwolle
Thorbecke Canal View;Zwolle;Superior Twin Room with City View;8,981;4;8,5;Zwolle
B&B In de Kromme Jak;Zwolle;Double or Twin Room;9,307;4;8,5;Zwolle
Hotel Lumen Zwolle;Zwolle;Comfort Double or Twin Room;9,797;4;8,5;Zwolle
Bilderberg Grand Hotel Wientjes;Zwolle;Classic Double Room;10,614;5;8,5;Zwolle
Apart! Food & Drinks Apartments;Zwolle;Deluxe Double Room;11,348;5;8,8;Zwolle
Van Der Valk Hotel Zwolle;Zwolle;Comfort Twin Room;11,430;5;8,7;Zwolle
Bnb de rode kamer;Zwolle;Double Room with Shared Bathroom;6,123;5;8;Zwolle
Bed & Breakfast 'Aan de IJssel';Zwolle;Double Room with Shared Shower and Toilet;6,531;5;8,3;Zwolle
B&B de Luwte Cottage;Zwolle;Comfort Double Room;7,266;5;8,1;Zwolle
Hotel Oldenburg;Zwolle;Standard Double Room with External Toilet;7,348;5;8,1;Zwolle
Hotel Fidder - Patrick's Whisky Bar;Zwolle;Twin Room;7,838;5;8,2;Zwolle
Buitenplaats de Luwte;Zwolle;Deluxe Twin Room;8,532;5;8,2;Zwolle
Stadslogement Bij de Sassenpoort;Zwolle;Superior Apartment;8,899;5;8,4;Zwolle
Mercure Hotel Zwolle;Zwolle;Standard Double Room;10,205;4;7,7;Zwolle
The Cabin at Zwolle Centraal;Zwolle;Double Room with Private Bathroom;6,123;4;7,2;Zwolle
Hanze Hotel Zwolle;Zwolle;Standard Twin Room;7,789;4;7,2;Zwolle
Campanile Hotel & Restaurant Zwolle;Zwolle;Double Room;6,870;4;6,4;Zwolle